channel slope_y_mean slope_y_sigma slope_x_mean slope_x_sigma residual_y_roc0_mean residual_y_roc0_sigma residual_y_roc1_mean residual_y_roc1_sigma residual_y_roc2_mean residual_y_roc2_sigma residual_x_roc0_mean residual_x_roc0_sigma residual_x_roc1_mean residual_x_roc1_sigma residual_x_roc2_mean residual_x_roc2_sigma
2  0.026548 0.005675 0.000171  0.007499 0.000592 0.005939 0.000951 0.006821 0.000589 0.005938  0.000279 0.005222 -0.000508 0.005972 0.000291 0.005226    
4  0.026874 0.005435 0.000133  0.007515 -0.000061 0.005030 0.001558 0.004988 -0.000057 0.005029-0.000206 0.004662 0.000507 0.005133 -0.000219 0.004645
5  0.026807 0.005384 0.000796  0.007655 0.000446 0.004935 0.000455 0.005104 0.000461 0.004923  -0.000557 0.004505 0.001133 0.005093 -0.000559 0.004537
8  0.026587 0.005876 -0.000211 0.007886 0.000544 0.005758 0.000885 0.006133 0.000542 0.005772  0.000203 0.005316 -0.000404 0.005940 0.000202 0.005312
10 0.026487 0.006244 0.000071  0.008006 0.000525 0.006402 0.001403 0.006838 0.000529 0.006397  -0.000195 0.005757 0.000374 0.006468 -0.000199 0.005758
11 0.026739 0.005638 0.000837  0.007479 0.000567 0.005842 0.000892 0.006122 0.000555 0.005838  -0.000535 0.005222 0.001069 0.005761 -0.000537 0.005209
13 0.026851 0.005266 -0.000955 0.007598 0.000431 0.004711 0.000524 0.004991 0.000412 0.004760  0.001294 0.004406 -0.002605 0.005054 0.001285 0.004440
14 0.026753 0.005497 -0.000225 0.007536 0.000468 0.004886 0.000506 0.005563 0.000470 0.004876  0.000317 0.004709 -0.000622 0.005241 0.000313 0.004717
16 0.026125 0.005536 0.001265  0.007388 -0.000035 0.005139 0.001599 0.005516 -0.000041 0.005146 -0.000735 0.004754 0.001462 0.005376 -0.000730 0.004755
17 0.027252 0.005573 0.001543  0.007486 -0.000073 0.005306 0.001794 0.005401 -0.000070 0.005309 -0.000991 0.004810 0.001902 0.005312 -0.000997 0.004808
19 0.026725 0.005460 0.000193  0.007526 0.000109 0.004958 0.001461 0.005235 0.000114 0.004958  -0.002979 0.004735 0.005890 0.005268 -0.002978 0.004734
20 0.026846 0.005379 -0.000953 0.007584 0.000236 0.004960 0.001079 0.005101 0.000182 0.004959  -0.001377 0.004653 0.002755 0.005161 -0.001357 0.004654
22 0.026626 0.005146 0.000345  0.007764 -0.006096 0.005127 0.013482 0.004335 -0.006091 0.005123 -0.000300 0.004369 0.000656 0.005011 -0.000371 0.004383
23 0.027102 0.005123 0.000313  0.007859 0.003201 0.004696 -0.005076 0.005275 0.003192 0.004679 -0.000527 0.004475 0.000807 0.005045 -0.000555 0.004467
